Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,ticker,ingest_timestamp
APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global provider of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. With a robust product portfolio that includes essential gases such as oxygen, nitrogen, and hydrogen, the company serves critical sectors including energy, healthcare, and manufacturing. Air Products is committed to sustainability and innovation, consistently advancing technologies that help reduce carbon emissions and enhance energy efficiency. The company’s strategic investments in clean energy solutions position it as a key player in the transition towards a more sustainable energy future, reinforcing its role in addressing global environmental challenges.",2969,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,September,2025-09-30,58538283000,4408200000,None,6.69,67.44,7.14,0.0271,-1.74,54.05,-0.0328,0.252,0.0441,-0.0192,12037300000,3781300000,-1.74,-0.998,-0.006,310.76,3,12,7,0,1,-,19.96,4.863,3.841,6.16,55.46,0.871,334.71,235.55,265.94,283.07,222554000,221682000,0.405,95.385,2025-11-10,2025-10-01,APD,2025-11-16 07:49:56.377288
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. (ABNB) is a leading online marketplace based in San Francisco, California, revolutionizing the global travel and hospitality industry since its inception in 2008. The platform connects travelers with a diverse range of unique accommodations and local experiences, effectively enriching consumer journeys. As demand for distinctive travel options increases in the post-pandemic landscape, Airbnb's innovative technology and strong community focus position it to capture evolving consumer preferences. With its robust global presence, the company continues to enhance guest and host interactions, solidifying its role as a vital force in the reimagined tourism market.",1559720,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"888 BRANNAN STREET, SAN FRANCISCO, CA, UNITED STATES, 94103",https://www.airbnb.com,December,2025-09-30,73483526000,2761000000,29.05,1.635,14.16,None,None,4.2,19.31,0.22,0.397,0.0748,0.308,11943000000,9917000000,4.2,0.038,0.097,139.25,2,14,23,5,1,29.05,25.06,6.15,8.59,5.41,23.87,1.112,163.93,99.88,123.4,128.72,425294000,409395000,1.504,85.138,None,None,ABNB,2025-11-16 07:49:56.937368
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a premier global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies, optimizing and securing digital experiences for its clients. By leveraging an extensive network of servers, Akamai enhances content delivery speed while safeguarding businesses against online threats, ensuring both performance and security. Serving a diverse range of industries, the company has established itself as a critical partner for enterprises navigating the intricacies of the digital landscape, with innovative solutions that address the evolving challenges of cloud services and cybersecurity. Akamai’s strategic partnerships and commitment to technological advancement reinforce its position as a leader in the rapidly growing data-centric economy.",1086222,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,December,2025-09-30,12756530000,1173728000,25.56,0.719,32.91,None,None,3.41,28.14,0.123,0.157,0.0379,0.106,4133202000,2443834000,3.41,1.553,0.05,95.66,2,10,8,3,1,25.56,11.93,3.086,2.65,4.029,12.07,0.701,103.75,67.51,77.01,79.43,143865000,140634000,1.963,150.963,None,None,AKAM,2025-11-16 07:49:57.487048
ALB,Common Stock,Albemarle Corp,"Albemarle Corporation, headquartered in Charlotte, North Carolina, is a leading player in the specialty chemicals sector, recognized for its expertise in lithium, bromine, and refining catalysts. The company is strategically aligned with the growing demands of the electric vehicle and energy storage markets, providing high-quality lithium compounds that are essential for advancing clean energy technologies. With a strong emphasis on sustainability and innovation, Albemarle is well-positioned to capitalize on the global shift towards renewable energy, offering institutional investors a promising opportunity for long-term growth amidst the expanding sustainable energy landscape.",915913,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"4250 CONGRESS STREET, CHARLOTTE, NC, UNITED STATES, 28209",https://www.albemarle.com,December,2025-09-30,13551694000,696874000,None,15.99,65.94,1.62,0.0141,-1.59,42.05,-0.0043,-0.0224,0.0014,0.0021,4946415000,612798000,-1.59,-0.662,-0.035,102.53,1,6,17,2,0,-,256.41,2.74,1.746,3.556,26.56,1.462,119.28,48.84,90.96,74.79,117698000,117124000,0.427,95.481,2026-01-02,2025-12-12,ALB,2025-11-16 07:49:58.038287
ARE,Common Stock,Alexandria Real Estate Equities Inc,"Alexandria Real Estate Equities, Inc. (ARE) is a premier real estate investment trust (REIT) focused on the acquisition, development, and management of high-quality office and laboratory spaces, predominantly catering to the life sciences and technology sectors. With a strategically located portfolio in vibrant innovation clusters, Alexandria is poised to capitalize on the increasing demand for advanced facilities that foster research and development. The company's strong emphasis on sustainability and innovative design not only distinguishes its properties but also aligns with the growing interest of institutional investors in the dynamic life sciences market.",1035443,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"26 NORTH EUCLID AVENUE, PASADENA, CA, UNITED STATES, 91101-6104",https://www.are.com,December,2025-09-30,9037022000,1958758000,None,844.2,97.68,5.28,0.101,-2.47,17.91,-0.134,0.191,0.0107,-0.0108,3058395000,2127901000,-2.47,6.48,-0.05,73.5,1,4,8,0,1,-,16.69,2.955,0.543,7.52,16.75,1.324,105.72,51.63,73.91,79.9,172825000,154010000,0.935,98.153,2025-10-15,2025-09-30,ARE,2025-11-16 07:49:58.587560
ALGN,Common Stock,Align Technology Inc,"Align Technology Inc. is a premier provider of innovative dental solutions, best known for its transformative Invisalign clear aligners and cutting-edge 3D digital scanning technologies. Based in San Jose, California, the company is strategically positioned to capitalize on the increasing demand for discreet orthodontic options globally. With a strong emphasis on research and development, Align Technology is dedicated to refining its products and services, ensuring they remain at the forefront of orthodontic innovation while fostering long-term growth and solidifying its market leadership.",1097149,NASDAQ,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"410 NORTH SCOTTSDALE ROAD, TEMPE, AZ, UNITED STATES, 85288",https://www.aligntech.com,December,2025-09-30,10003384000,810888000,26.58,0.82,54.93,None,None,5.16,54.39,0.095,0.157,0.0632,0.0958,3982622000,2758157000,5.16,-0.497,0.018,180.5,1,8,7,0,1,26.58,12.79,2.512,2.486,2.249,11.52,1.868,246.19,122,132.91,164.91,71750000,67225000,6.756,97.972,None,None,ALGN,2025-11-16 07:49:59.140151
ALLE,Common Stock,Allegion PLC,"Allegion PLC is a premier global provider of security solutions, headquartered in Dublin, Ireland, and notable for its strong foothold in North America and other markets. The company’s extensive product portfolio includes well-established brands such as Schlage, LCN, and Von Duprin, catering to both residential and commercial sectors. Emphasizing innovation and quality, Allegion is dedicated to advancing safety and security across various environments, leveraging strategic investments in product development and expansion efforts to drive sustained growth.",1579241,NYSE,USD,USA,INDUSTRIALS,SECURITY & PROTECTION SERVICES,"IVEAGH COURT, DUBLIN, IRELAND, D02 VH94",https://www.allegion.com,December,2025-09-30,14153977000,961600000,21.82,1.821,22.63,2.1,0.0128,7.39,46.12,0.161,0.219,0.104,0.364,3979700000,1795500000,7.39,0.095,0.107,183.09,1,2,9,0,0,21.82,18.38,3.557,7.13,3.934,16.04,1.043,180.68,115.8,172.89,149.9,86032000,84943000,1.122,98.177,2025-09-30,2025-09-15,ALLE,2025-11-16 07:49:59.690189
LNT,Common Stock,Alliant Energy Corp,"Alliant Energy Corporation (LNT), headquartered in Madison, Wisconsin, is a prominent public utility holding company that delivers electricity and natural gas to over 1.4 million customers across Iowa and Wisconsin. With a strong commitment to sustainability, the company is actively investing in renewable energy initiatives aimed at reducing carbon emissions and improving energy efficiency. Its diversified energy portfolio, reinforced by strategic innovation and infrastructure investments, allows Alliant Energy to navigate the evolving energy sector while maintaining reliable service delivery. This strategic focus positions the company well for long-term growth and resilience amid evolving market conditions.",352541,NASDAQ,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"4902 NORTH BILTMORE LANE, MADISON, WI, UNITED STATES, 53718",https://www.alliantenergy.com,December,2025-09-30,17333133000,1865000000,21.17,2.009,28.43,2.003,0.0297,3.18,16.64,0.191,0.288,0.0272,0.115,4274000000,2004000000,3.18,-0.052,0.119,71.5,0,6,4,0,1,21.17,19.68,4.056,2.368,6.66,14.07,0.658,69.23,54.52,66.71,63.56,257054000,256316000,0.233,87.600,2025-11-17,2025-10-31,LNT,2025-11-16 07:50:00.255131
ALL,Common Stock,The Allstate Corporation,"The Allstate Corporation is a prominent American insurance provider based in Northfield Township, Illinois, offering a comprehensive portfolio of insurance solutions that encompasses auto, home, life, and commercial coverage. Renowned for its customer-centric ethos, Allstate employs cutting-edge technology and data analytics to improve risk assessment and streamline claims processing, which bolsters its competitive advantage in the industry. Supported by solid financial performance and a proactive approach to innovation, Allstate is well-equipped to seize growth opportunities and navigate the evolving landscape of the insurance sector.",899051,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - PROPERTY & CASUALTY,"3100 SANDERS ROAD, NORTHBROOK, IL, UNITED STATES, 60062",https://www.allstate.com,December,2025-09-30,56078393000,10065000000,6.95,1.288,97.34,3.92,0.0186,30.84,252.77,0.125,0.244,0.0509,0.345,66845999000,18852999000,30.84,2.222,0.038,236.1,4,12,5,1,1,6.95,9.14,0.839,2.199,0.985,-,0.258,215.7,173.88,202.36,200.15,261682000,260070000,0.572,80.831,2025-10-01,2025-08-29,ALL,2025-11-16 07:50:00.857516
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. (GOOGL) is a leading American multinational conglomerate based in Mountain View, California, established as the parent company of Google and its subsidiaries following a strategic restructuring in October 2015. As one of the world's largest technology companies by revenue, it operates in diverse segments including online advertising, cloud computing, consumer electronics, and artificial intelligence. Co-founders Larry Page and Sergey Brin continue to influence the company's strategic direction as controlling shareholders and board members. With a robust portfolio and a commitment to innovation, Alphabet remains at the forefront of tech advancements, driving significant market value and growth potential for institutional investors.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-09-30,3364478255000,145174004000,27.31,1.566,32.03,1.02,0.0037,10.12,31.71,0.322,0.305,0.163,0.354,385476002000,228095001000,10.12,0.353,0.159,318.24,13,43,10,0,0,27.31,25,8.73,8.62,8.49,19.06,1.082,292.0,140.23,257.24,197.06,5818000000,10814325000,0.566,81.280,2025-12-15,2025-12-08,GOOGL,2025-11-16 07:50:01.405299
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. (GOOG) is a leading American multinational conglomerate, headquartered in Mountain View, California, that emerged from Google's corporate restructuring in October 2015. As the parent company of Google and a wide range of subsidiaries, Alphabet excels in technology sectors such as search services, digital advertising, cloud computing, consumer electronics, and artificial intelligence. With robust revenue generation, the company significantly contributes to the global digital economy's evolution. Under visionary leadership from its co-founders, Alphabet is strategically positioned to spearhead innovation and expand its footprint in rapidly growing technology markets.",1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-09-30,3364478255000,145174004000,27.32,1.569,32.03,1.02,0.0037,10.14,31.71,0.322,0.305,0.163,0.354,385476002000,228095001000,10.14,0.353,0.159,311.69,14,43,10,0,0,27.32,25.06,8.73,8.64,8.49,19.06,1.082,292.36,142.36,257.84,198.28,5407000000,10814325000,6.717,60.734,2025-12-15,2025-12-08,GOOG,2025-11-16 07:50:01.973698
MO,Common Stock,Altria Group,"Altria Group, Inc. is a leading American tobacco company based in Henrico County, Virginia, renowned for its portfolio of iconic brands such as Marlboro, and its significant presence in the smokeless tobacco segment. As a major player in the global tobacco market, Altria is actively pivoting towards reduced-risk alternatives by investing in e-vapor and heated tobacco technologies. The company's robust focus on innovation, regulatory adherence, and sustainable practices positions it advantageously to navigate the evolving tobacco landscape and meet the increasing consumer demand for safer product options. Through these strategic initiatives, Altria aims to redefine its role in the tobacco industry while prioritizing public health and shareholder value.",764180,NYSE,USD,USA,CONSUMER DEFENSIVE,TOBACCO,"6601 WEST BROAD STREET, RICHMOND, VA, UNITED STATES, 23230",https://www.altria.com,December,2025-09-30,97681900000,12608000000,11.11,4.015,-1.576,4.08,0.0706,5.24,11.95,0.44,0.628,0.223,0,20166001000,14557000000,5.24,0.052,-0.017,62.58,0,4,9,1,1,11.11,10.39,4.844,27.3,5.95,9.91,0.504,67.51,47.59,63.29,60.2,1678672000,1675230000,0.090,62.448,2025-10-10,2025-09-15,MO,2025-11-16 07:50:02.527115
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is a leading American multinational technology company, widely recognized for its dominance in e-commerce, cloud computing via Amazon Web Services (AWS), and digital streaming. As a key player among the ""Big Five"" tech giants, Amazon's innovative approach and unwavering commitment to customer-centric solutions have established it as one of the world's most valuable brands. The company remains at the forefront of technological advancement, with strategic investments in artificial intelligence and logistics, positioning itself to leverage emerging market trends and further enhance its competitive edge in the rapidly evolving digital landscape.",1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.amazon.com,December,2025-09-30,2539781358000,139696996000,33.1,2.041,34.59,None,None,7.09,65.12,0.111,0.111,0.075,0.243,691330023000,345982009000,7.09,0.364,0.134,293.03,15,50,2,0,0,33.1,29.59,3.674,6.79,3.689,16.23,1.368,258.6,161.38,228.7,215.09,10690216000,9702012000,9.178,66.642,None,None,AMZN,2025-11-16 07:50:03.073660
AMCR,Common Stock,Amcor PLC,"Amcor PLC is a leading global packaging company headquartered in Australia, with significant operations in the United States and the UK. Specializing in a wide array of flexible and rigid packaging solutions, Amcor serves key industries including food, beverage, pharmaceuticals, and personal care. The company is dedicated to sustainability, focusing on innovative packaging designs that enhance product shelf life while minimizing environmental impact. With a robust portfolio and extensive industry expertise, Amcor is well-positioned as a vital partner for brands seeking high-quality packaging in an increasingly competitive market.",1748790,NYSE,USD,USA,CONSUMER CYCLICAL,PACKAGING & CONTAINERS,"THURGAUERSTRASSE 34, ZURICH, SWITZERLAND, 8050",https://www.amcor.com,June,2025-09-30,19805727000,2473000000,28.27,0.567,5.08,0.513,0.0598,0.3,9.63,0.0335,0.0933,0.0354,0.0747,17401000000,3299000000,0.3,-0.144,0.713,10.41,3,6,3,0,0,28.27,10.55,1.138,1.671,1.982,16.07,0.689,10.27,7.67,8.16,9.11,2308360000,2294849000,0.225,68.055,2025-12-17,2025-11-28,AMCR,2025-11-16 07:50:03.627772
AEE,Common Stock,Ameren Corp,"Ameren Corporation (AEE) is a prominent utility holding company headquartered in St. Louis, Missouri, engaged in the generation, transmission, and distribution of electricity and natural gas across Missouri and Illinois. Established through the 1997 merger of Union Electric Company and Central Illinois Public Service Company, Ameren provides reliable energy services to millions of customers while prioritizing sustainable growth through innovative renewable energy initiatives. With a strong commitment to infrastructure modernization and clean energy advancements, Ameren is well-positioned to capitalize on emerging opportunities in the evolving energy landscape, driving long-term value for stakeholders.",1002910,NYSE,USD,USA,UTILITIES,UTILITIES - REGULATED ELECTRIC,"1901 CHOUTEAU AVENUE, SAINT LOUIS, MO, UNITED STATES, 63103",https://www.amereninvestors.com,December,2025-09-30,28407374000,3545000000,20.2,2.503,47.25,2.8,0.0267,5.2,32.04,0.163,0.34,0.0293,0.114,8635000000,4067000000,5.2,0.382,0.248,112.57,0,8,6,0,1,20.2,19.72,3.29,2.223,5.41,12.48,0.585,106.73,84.54,102.74,99.38,270495000,269151000,0.301,87.123,2025-12-31,2025-12-09,AEE,2025-11-16 07:50:04.179394
